Gene expression phytotron,Lacy - Smokies,Lacy - field,Lacy Phyt,Katie - field,Katie - CG,Mike,Andrew,Bernice,Matt,Project,Site,Collection_no,Phytotron_ID (Ap_GXL),Species,Locale,State
,,,,,,,,,x,Pop genomics,HSP,8,,,Hickory Run State Park,PA
,,,,,,,,,x,Pop genomics,HSP,10,,,Hickory Run State Park,PA
,,,,,,,,,x,Pop genomics,HSP,11,,,Hickory Run State Park,PA
,,,,,,,,,x,Pop genomics,HW,2,,,Hitchcock Woods,SC
,,,,,,,,,x,Pop genomics,HW,3,,,Hitchcock Woods,SC
,,,,,,,,,x,Pop genomics,HW,6,,,Hitchcock Woods,SC
,,,,,,,,,x,Pop genomics,HW,8,,,Hitchcock Woods,SC
,,,,,,,,,x,Pop genomics,HW,9,,,Hitchcock Woods,SC
,,,,,,,,,x,Pop genomics,HW,10,,,Hitchcock Woods,SC
,,,,,,,,,x,Pop genomics,IJAMS,2,,,Ijams Nature Center,TN
,,,,x,,,,,x,Pop genomics,IJAMS,3,,,Ijams Nature Center,TN
,,,,,,,,,x,Pop genomics,IJAMS,4,,,Ijams Nature Center,TN
,,,,,,,,,x,Pop genomics,IJAMS,QL,,,Ijams Nature Center,TN
,,x,,,,,,,,Lacy_field,JMBSF,,,,30.496818N 82.312629W,FL
,,,,x,,,,,x,Pop genomics,KBH,2,,,Kennebec Highlands,ME
,,,,,,,,,x,Pop genomics,KBH,3,,,Kennebec Highlands,ME
,,,,x,,,,,x,Pop genomics,KBH,5,,,Kennebec Highlands,ME
,,,,x,,,,,x,Pop genomics,KBH,6,,,Kennebec Highlands,ME
,,,,x,,,,,x,Pop genomics,KBH,8,,picea,Kennebec Highlands,ME
,,x,,,,,,,,Lacy_field,LF-GSMNP,,,,35.6686N 83.58632W,TN
,,,,x,,,,,x,Pop genomics,LVA,1,,fulva,Lynchburg (Black Water Creek park),VA
,,,,x,,,,,x,ANBE,LVA,2,,rudis,Lynchburg,VA
,,,,x,,,,,x,Pop genomics,LVA,3,,rudis,Lynchburg (Black Water Creek park),VA
,,,,x,,,,,x,Pop genomics,LVA,4,,,Lynchburg (Black Water Creek park),VA
,,,,x,,,,,,Pop genomics,LVA,5,,,Lynchburg (Black Water Creek park),VA
,,,,x,,,,,x,Pop genomics,LVA,10,,,Lynchburg (Black Water Creek park),VA
,,,,,,,,,x,Pop genomics,LVA,13,,rudis,Lynchburg (Black Water Creek park),VA
,,,,,,,,,x,Pop genomics,MagSpr,6,,,,
,,,,,,,,,x,Pop genomics,MM,5,,,Silver Lake,NH
,,,,,,,,,x,Pop genomics,MM,6,,,Silver Lake,NH
,,x,,,,,,,,Lacy_field,MNC,,,,29.655667N 82.276467W,FL
,,x,,,,,,,,Lacy_field,NG-GSMNP,,,,35.611478N 83.421825W,TN
,,,,,,,,,x,Pop genomics,NOCK,1,,fulva?,Nockamixon State Park,PA
,,,,,,,,,x,Pop genomics,NOCK,2,,fulva?,Nockamixon State Park,PA
,,,,,,,,,x,Pop genomics,NOCK,3,,,Nockamixon State Park,PA
,,,,,,,,,x,Pop genomics,NOCK,4,,,Nockamixon State Park,PA
,,,,,,,,,x,Pop genomics,NOCK,5,,,Nockamixon State Park,PA
,,,,,,,,,x,Pop genomics,NOCK,7,,,Nockamixon State Park,PA
,,,,,,,,,x,Pop genomics,NOCK,9,,,Nockamixon State Park,PA
,,,,,,,,,x,Pop genomics,NOCK,10,,,Nockamixon State Park,PA
,,,,x,,,,,x,Pop genomics,Notch,3,,,Windsor,MA
,,,,,,,,,x,Pop genomics,NSP,1,,,Neshamany State Park,PA
,,,,x,,,,,x,Pop genomics,NSP,2,,picea,Neshamany State Park,PA
,,,,x,,,,,x,Pop genomics,NSP,3,,rudis,Neshamany State Park,PA
,,,,,,,,,x,Pop genomics,NSP,4,,,Neshamany State Park,PA
,,,,x,,,,,x,Pop genomics,NSP,5,,,Neshamany State Park,PA
,,,,,,,,,x,Pop genomics,NSP,6,,,Neshamany State Park,PA
,,,,x,,,,,x,Pop genomics,NSP,7,,fulva,Neshamany State Park,PA
,,,,,,,,,x,Pop genomics,NSP,8,,,Neshamany State Park,PA
,,,,x,,,,,x,Pop genomics,NSP,9,,,Neshamany State Park,PA
,,,,,,,,,x,Pop genomics,NSP,10,,,Neshamany State Park,PA
,,,,x,,,,,x,Pop genomics,NSP,11,,,Neshamany State Park,PA
,,,,,,,,,x,Pop genomics,NSP,12,,,Neshamany State Park,PA
,,x,,,,,,,,Lacy_field,PB,,,,35.4994N 83.9346W,TN
,,,,x,,,,,x,Pop genomics,RC,2,,fulva,Raleigh Chambers,NC
,,,,x,,,,,x,Pop genomics,RC,6,,rudis,Raleigh Chambers,NC
,,,,x,,,,,x,Pop genomics,RC,9,,rudis,Raleigh Chambers,NC
,,,,x,,,,,x,Pop genomics,RC,11,,rudis,Raleigh Chambers,NC
,,,,x,,,,,x,Pop genomics,RC,13,,rudis,Raleigh Chambers,NC
,,,,x,,,,,x,Pop genomics,RC,14,,rudis,Raleigh Chambers,NC
,,,,x,,,,,x,Pop genomics,RC,15,,rudis,Raleigh Chambers,NC
,,,,x,,,,,x,Pop genomics,RC,16,,rudis,Raleigh Chambers,NC
,,,,x,,,,,x,Pop genomics,Seb,2,,,Sebago Lake State Park,ME
,,,,x,,,,,x,Pop genomics,Seb,3,,,Sebago Lake State Park,ME
,,,,,,,,,x,Pop genomics,Seb,4,,,Sebago Lake State Park,ME
,,,,,,,,,x,Pop genomics,Seb,5,,,Sebago Lake State Park,ME
,,,,,,,,,x,Pop genomics,Seb,6,,,Sebago Lake State Park,ME
,,,,,,,,,x,Pop genomics,Seb,10,,,Sebago Lake State Park,ME
,,x,,,,,,,,Lacy_field,SFHPSP,,,,29.746689N 82.442777W,FL
,,x,,,,,,,,Lacy_field,STFMNF,,,,33.113783N 79.864183W,SC
,,,,x,,,,,x,Pop genomics,UNF,4,,rudis,Uwharrie National Forest,NC
,,,,x,,,,,x,Pop genomics,UNF,7,,miamiana,Uwharrie National Forest,NC
,,,,x,,,,,x,Pop genomics,WP,1,,,William Penn,PA
,,,,,,,,,x,Pop genomics,WP,4,,,William Penn,PA
,,,,,,,,,x,Pop genomics,WP,5,,,William Penn,PA
,,,,x,,,,,x,Pop genomics,WP,8,,,William Penn,PA
,,,,x,,,,,x,Pop genomics,WP,10,,,William Penn,PA
,,,,,,,,,x,Pop genomics,WP,12,,,William Penn,PA
,,,,,,,,,x,Pop genomics,WP,13,,,William Penn,PA
,,,,x,,,,,x,Pop genomics,YM,1,,,Yates Mill,NC
,,,,x,,,,,x,Pop genomics,YM,2,,,Yates Mill,NC
,,,,x,,,,,x,Pop genomics,YM,3,,,Yates Mill,NC
